No.,Date,ID,Name,Switch,Brightness(%),Power Rate(%),Power Sum(W),Power AC(W),Power DC(W),Power Limit Hard(W),Power Limit Soft(W),Current Sum(A),Current Limit(A),DR(%),Led Count,Energy (kWh)
1538,12/28/21 12:10:54 AM,1_72,B相充电桩电,1,25,100,18,18,0,8800,0,0,0,0,4,84.135
12593,12/28/21 12:10:54 AM,1_3,3号充电桩,0,0,100,0,0,0,0,0,0,0,0,1,16.077
10544,12/28/21 12:10:55 AM,1_51,配电箱总功�,1,50,100,333,333,0,30000,8800,2,0,0,7,109.991
4501,12/28/21 12:11:27 AM,1_65,四个充电桩�,1,25,100,18,18,0,10000,0,0,35,0,4,84.22
2984,12/28/21 12:11:41 AM,1_71,A相充电桩电,1,40,100,98,98,0,8800,0,0,0,0,1,7.549
5993,12/28/21 12:11:54 AM,1_63,C相电流上限,1,100,100,160,160,0,10000,0,1,0,0,1,12.173
7521,12/28/21 12:11:54 AM,1_62,B相电流上限,1,50,100,77,77,0,10000,0,0,0,0,5,90.262
9024,12/28/21 12:11:54 AM,1_61,A相电流上限,1,100,100,97,97,0,10000,0,0,0,0,1,7.545
13,12/28/21 12:11:54 AM,1_73,C相充电桩电,1,40,100,160,160,0,0,0,1,0,0,1,12.166
2985,12/28/21 12:11:54 AM,1_71,A相充电桩电,1,40,100,97,97,0,8800,0,0,0,0,1,7.549
13983,12/28/21 12:11:54 AM,1_11,充电桩上电,1,25,100,18,18,0,0,0,0,0,0,4,84.001
1539,12/28/21 12:11:54 AM,1_72,B相充电桩电,1,25,100,18,18,0,8800,0,0,0,0,4,84.135
10545,12/28/21 12:11:55 AM,1_51,配电箱总功�,1,50,100,339,339,0,30000,8800,2,0,0,7,109.996
4502,12/28/21 12:12:27 AM,1_65,四个充电桩�,1,25,100,18,18,0,10000,0,0,35,0,4,84.22
9025,12/28/21 12:12:54 AM,1_61,A相电流上限,1,100,100,97,97,0,10000,0,0,0,0,1,7.546
7522,12/28/21 12:12:54 AM,1_62,B相电流上限,1,50,100,77,77,0,10000,0,0,0,0,5,90.263
5994,12/28/21 12:12:54 AM,1_63,C相电流上限,1,100,100,195,195,0,10000,0,1,0,0,1,12.176
14,12/28/21 12:12:54 AM,1_73,C相充电桩电,1,40,100,195,195,0,0,0,1,0,0,1,12.169
2986,12/28/21 12:12:54 AM,1_71,A相充电桩电,1,40,100,97,97,0,8800,0,0,0,0,1,7.551
13984,12/28/21 12:12:54 AM,1_11,充电桩上电,1,25,100,18,18,0,0,0,0,0,0,4,84.002
1540,12/28/21 12:12:54 AM,1_72,B相充电桩电,1,25,100,18,18,0,8800,0,0,0,0,4,84.135
10546,12/28/21 12:12:55 AM,1_51,配电箱总功�,1,50,100,346,346,0,30000,8800,2,0,0,7,110.002
4503,12/28/21 12:13:11 AM,1_65,四个充电桩�,1,25,100,17,17,0,10000,0,0,35,0,4,84.22
4504,12/28/21 12:13:27 AM,1_65,四个充电桩�,1,25,100,18,18,0,10000,0,0,35,0,4,84.22
9026,12/28/21 12:13:54 AM,1_61,A相电流上限,1,100,100,97,97,0,10000,0,0,0,0,1,7.548
5995,12/28/21 12:13:54 AM,1_63,C相电流上限,1,100,100,159,159,0,10000,0,1,0,0,1,12.179
15,12/28/21 12:13:54 AM,1_73,C相充电桩电,1,40,100,159,159,0,0,0,1,0,0,1,12.172
2987,12/28/21 12:13:54 AM,1_71,A相充电桩电,1,40,100,97,97,0,8800,0,0,0,0,1,7.552
1541,12/28/21 12:13:54 AM,1_72,B相充电桩电,1,25,100,18,18,0,8800,0,0,0,0,4,84.136
13985,12/28/21 12:13:54 AM,1_11,充电桩上电,1,25,100,18,18,0,0,0,0,0,0,4,84.002
10547,12/28/21 12:13:55 AM,1_51,配电箱总功�,1,50,100,345,345,0,30000,8800,2,0,0,7,110.008
13986,12/28/21 12:14:51 AM,1_11,充电桩上电,1,25,100,18,18,0,0,0,0,0,0,4,84.002
9027,12/28/21 12:14:54 AM,1_61,A相电流上限,1,100,100,97,97,0,10000,0,0,0,0,1,7.549
5996,12/28/21 12:14:54 AM,1_63,C相电流上限,1,100,100,172,172,0,10000,0,1,0,0,1,12.182
7523,12/28/21 12:14:54 AM,1_62,B相电流上限,1,50,100,77,77,0,10000,0,0,0,0,5,90.266
16,12/28/21 12:14:54 AM,1_73,C相充电桩电,1,40,100,172,172,0,0,0,1,0,0,1,12.175
2988,12/28/21 12:14:54 AM,1_71,A相充电桩电,1,40,100,97,97,0,8800,0,0,0,0,1,7.554
13987,12/28/21 12:14:54 AM,1_11,充电桩上电,1,25,100,18,18,0,0,0,0,0,0,4,84.002
10548,12/28/21 12:14:56 AM,1_51,配电箱总功�,1,50,100,334,334,0,30000,8800,2,0,0,7,110.013
4505,12/28/21 12:15:27 AM,1_65,四个充电桩�,1,25,100,17,17,0,10000,0,0,35,0,4,84.221
10549,12/28/21 12:15:50 AM,1_51,配电箱总功�,1,50,100,335,335,0,30000,8800,2,0,0,7,110.018
9028,12/28/21 12:15:50 AM,1_61,A相电流上限,1,100,100,98,98,0,10000,0,0,0,0,1,7.551
5997,12/28/21 12:15:50 AM,1_63,C相电流上限,1,100,100,160,160,0,10000,0,1,0,0,1,12.184
17,12/28/21 12:15:51 AM,1_73,C相充电桩电,1,40,100,160,160,0,0,0,1,0,0,1,12.177
7524,12/28/21 12:15:52 AM,1_62,B相电流上限,1,50,100,77,77,0,10000,0,0,0,0,5,90.267
18,12/28/21 12:15:52 AM,1_73,C相充电桩电,1,40,100,160,160,0,0,0,1,0,0,1,12.177
2989,12/28/21 12:15:52 AM,1_71,A相充电桩电,1,40,100,98,98,0,8800,0,0,0,0,1,7.556
1542,12/28/21 12:15:52 AM,1_72,B相充电桩电,1,25,100,18,18,0,8800,0,0,0,0,4,84.136
4506,12/28/21 12:15:52 AM,1_65,四个充电桩�,1,25,100,18,18,0,10000,0,0,35,0,4,84.221
